Order ID,Category,Sub Category,Sales,Discount,Profit,PaymentMode
OD106,Oil & Masala,Masalas,1575,0.33,78.75,UPI
OD107,Beverages,Health Drinks,540,0.12,108,UPI
OD108,Snacks,Cookies,536,0.34,176.88,UPI
OD109,"Eggs, Meat & Fish",Eggs,556,0.21,155.68,UPI
OD110,Fruits & Veggies,Fresh Fruits,1179,0.16,271.17,UPI
OD111,Food Grains,Dals & Pulses,1487,0.12,505.58,UPI
OD112,Bakery,Breads & Buns,2220,0.1,111,UPI
OD113,Oil & Masala,Edible Oil & Ghee,2155,0.3,581.85,UPI
OD114,Fruits & Veggies,Fresh Vegetables,1154,0.1,69.24,UPI
OD115,Snacks,Noodles,2420,0.11,242,UPI
OD116,Snacks,Chocolates,1305,0.24,287.1,UPI
OD117,Fruits & Veggies,Organic Fruits,927,0.2,157.59,UPI
OD118,Fruits & Veggies,Organic Vegetables,983,0.11,186.77,UPI
OD119,Food Grains,Rice,903,0.1,90.3,UPI
OD120,"Eggs, Meat & Fish",Chicken,1235,0.12,74.1,UPI
OD121,Fruits & Veggies,Organic Vegetables,1243,0.24,174.02,UPI
OD122,Bakery,Cakes,649,0.34,201.19,UPI
OD123,"Eggs, Meat & Fish",Mutton,2354,0.11,188.32,UPI
OD124,Beverages,Soft Drinks,1443,0.27,187.59,UPI
OD125,Bakery,Breads & Buns,975,0.26,390,UPI
OD126,Fruits & Veggies,Organic Vegetables,889,0.19,71.12,UPI
OD127,"Eggs, Meat & Fish",Mutton,2352,0.17,870.24,UPI
OD128,Oil & Masala,Spices,1293,0.23,336.18,UPI
OD129,Food Grains,Rice,1458,0.29,597.78,UPI
OD130,Food Grains,Atta & Flour,1801,0.22,126.07,UPI
OD131,Snacks,Chocolates,1261,0.29,416.13,UPI
OD132,Beverages,Soft Drinks,2112,0.28,105.6,UPI
OD133,"Eggs, Meat & Fish",Fish,640,0.24,140.8,UPI
OD134,Bakery,Cakes,1658,0.12,315.02,UPI
OD135,Beverages,Health Drinks,2373,0.18,664.44,UPI
OD136,Fruits & Veggies,Organic Fruits,1430,0.19,514.8,UPI
OD137,Oil & Masala,Spices,1873,0.3,674.28,UPI
OD138,"Eggs, Meat & Fish",Eggs,867,0.14,329.46,UPI
OD139,Snacks,Noodles,1101,0.19,484.44,UPI
OD140,"Eggs, Meat & Fish",Mutton,1088,0.28,424.32,UPI
OD141,Bakery,Biscuits,866,0.32,381.04,UPI
OD142,Oil & Masala,Masalas,2483,0.14,223.47,UPI
OD143,Food Grains,Atta & Flour,1335,0.11,293.7,UPI
OD144,"Eggs, Meat & Fish",Fish,765,0.24,252.45,UPI
OD145,"Eggs, Meat & Fish",Mutton,2403,0.2,624.78,UPI
OD146,Oil & Masala,Edible Oil & Ghee,1551,0.13,573.87,UPI
OD147,Food Grains,Organic Staples,1564,0.27,187.68,UPI
OD148,Fruits & Veggies,Fresh Vegetables,1125,0.33,292.5,UPI
OD149,Beverages,Health Drinks,768,0.1,184.32,UPI
OD150,"Eggs, Meat & Fish",Fish,1985,0.26,734.45,UPI
OD151,Food Grains,Rice,2287,0.13,1029.15,UPI
OD152,Snacks,Chocolates,1016,0.34,335.28,UPI
OD153,Snacks,Cookies,852,0.26,76.68,UPI
OD154,Food Grains,Organic Staples,1233,0.28,234.27,UPI
OD155,Snacks,Noodles,2236,0.14,626.08,UPI
OD156,Fruits & Veggies,Fresh Vegetables,2188,0.32,809.56,UPI
OD157,Snacks,Cookies,1114,0.2,456.74,UPI
OD158,Oil & Masala,Edible Oil & Ghee,1774,0.15,620.9,UPI
OD159,Beverages,Soft Drinks,2364,0.21,1040.16,UPI
OD160,Food Grains,Dals & Pulses,1487,0.11,148.7,UPI
OD161,Beverages,Soft Drinks,713,0.3,192.51,UPI
OD162,"Eggs, Meat & Fish",Fish,737,0.2,280.06,UPI
OD163,Snacks,Chocolates,1004,0.26,341.36,UPI
OD164,Snacks,Cookies,1516,0.32,121.28,UPI
OD165,Food Grains,Atta & Flour,1442,0.28,605.64,UPI
OD166,Beverages,Health Drinks,1690,0.33,422.5,UPI
OD167,Snacks,Chocolates,2021,0.13,343.57,UPI
OD168,"Eggs, Meat & Fish",Mutton,2340,0.25,491.4,UPI
OD169,Oil & Masala,Spices,705,0.15,176.25,UPI
OD170,"Eggs, Meat & Fish",Chicken,1215,0.2,60.75,UPI
OD171,Food Grains,Dals & Pulses,552,0.25,237.36,UPI
OD172,Beverages,Health Drinks,1412,0.11,564.8,UPI
OD173,Food Grains,Dals & Pulses,791,0.32,150.29,UPI
OD174,Fruits & Veggies,Organic Vegetables,2476,0.33,420.92,UPI
OD175,Fruits & Veggies,Fresh Vegetables,1747,0.27,471.69,UPI
OD176,Fruits & Veggies,Organic Fruits,1973,0.15,848.39,UPI
OD177,Oil & Masala,Spices,2025,0.24,546.75,UPI
OD178,Snacks,Noodles,1016,0.29,223.52,UPI
OD179,Fruits & Veggies,Organic Fruits,689,0.3,55.12,UPI
OD180,Food Grains,Atta & Flour,1322,0.16,343.72,UPI
OD181,Snacks,Cookies,1605,0.25,433.35,UPI
OD182,Beverages,Health Drinks,1718,0.2,171.8,UPI
OD183,Oil & Masala,Edible Oil & Ghee,2177,0.35,783.72,UPI
OD184,Food Grains,Organic Staples,578,0.19,236.98,UPI
OD185,Food Grains,Dals & Pulses,782,0.28,195.5,UPI
OD186,Snacks,Noodles,1388,0.35,97.16,UPI
OD187,Bakery,Cakes,2264,0.21,792.4,UPI
OD188,Beverages,Soft Drinks,813,0.16,138.21,UPI
OD189,Fruits & Veggies,Organic Fruits,2015,0.24,564.2,UPI
OD190,Beverages,Soft Drinks,1433,0.3,472.89,UPI
OD191,Fruits & Veggies,Organic Fruits,2093,0.11,334.88,UPI
OD192,Fruits & Veggies,Fresh Vegetables,2149,0.17,623.21,UPI
OD193,Beverages,Health Drinks,1972,0.32,414.12,UPI
OD194,Oil & Masala,Masalas,2060,0.25,432.6,UPI
OD195,"Eggs, Meat & Fish",Eggs,1175,0.12,340.75,UPI
OD196,Oil & Masala,Edible Oil & Ghee,1006,0.25,191.14,UPI
OD197,Bakery,Breads & Buns,1409,0.16,380.43,UPI
OD198,Food Grains,Organic Staples,914,0.34,338.18,UPI
OD199,"Eggs, Meat & Fish",Mutton,1352,0.3,527.28,UPI
OD200,"Eggs, Meat & Fish",Eggs,682,0.25,170.5,UPI
OD201,Food Grains,Organic Staples,1738,0.22,243.32,UPI
OD202,Bakery,Cakes,2421,0.25,484.2,UPI
OD203,Food Grains,Organic Staples,2245,0.24,404.1,UPI
OD204,Oil & Masala,Masalas,896,0.12,295.68,UPI
OD205,Oil & Masala,Spices,1033,0.3,185.94,UPI
OD206,"Eggs, Meat & Fish",Mutton,1998,0.29,139.86,UPI
OD207,"Eggs, Meat & Fish",Chicken,1469,0.15,646.36,UPI
OD208,"Eggs, Meat & Fish",Eggs,1899,0.25,360.81,UPI
OD209,"Eggs, Meat & Fish",Mutton,2194,0.2,153.58,UPI
OD210,Beverages,Soft Drinks,1942,0.29,504.92,UPI
OD211,Fruits & Veggies,Organic Vegetables,609,0.3,207.06,UPI
OD212,"Eggs, Meat & Fish",Chicken,2353,0.26,423.54,UPI
OD213,Beverages,Soft Drinks,1591,0.15,270.47,UPI
OD214,Food Grains,Rice,1353,0.11,527.67,UPI
OD215,Beverages,Health Drinks,1020,0.21,81.6,UPI
OD216,Snacks,Noodles,1362,0.31,177.06,UPI
OD217,Food Grains,Rice,1733,0.31,433.25,UPI
OD218,Oil & Masala,Masalas,1949,0.17,97.45,UPI
OD219,Fruits & Veggies,Organic Fruits,2368,0.34,876.16,UPI
OD220,Fruits & Veggies,Fresh Vegetables,2110,0.25,485.3,UPI
OD221,Food Grains,Dals & Pulses,1940,0.2,795.4,UPI
OD222,"Eggs, Meat & Fish",Fish,1557,0.2,638.37,UPI
OD223,"Eggs, Meat & Fish",Fish,1443,0.19,274.17,UPI
OD224,Beverages,Soft Drinks,2024,0.11,910.8,UPI
OD225,"Eggs, Meat & Fish",Chicken,2168,0.16,563.68,UPI
OD226,"Eggs, Meat & Fish",Chicken,621,0.24,173.88,UPI
OD227,Food Grains,Organic Staples,1230,0.17,295.2,UPI
OD228,Snacks,Cookies,560,0.34,240.8,UPI
OD229,Oil & Masala,Edible Oil & Ghee,1286,0.22,282.92,UPI
OD230,Beverages,Health Drinks,1242,0.34,149.04,UPI
OD231,Bakery,Breads & Buns,717,0.21,43.02,UPI
OD232,Beverages,Soft Drinks,1480,0.22,444,UPI
OD233,Food Grains,Dals & Pulses,826,0.18,247.8,UPI
OD234,Snacks,Cookies,1846,0.22,276.9,UPI
OD235,Beverages,Soft Drinks,2045,0.12,552.15,UPI
OD236,Fruits & Veggies,Organic Fruits,1983,0.17,773.37,UPI
OD237,Bakery,Cakes,650,0.16,247,UPI
OD238,Bakery,Breads & Buns,2163,0.31,216.3,UPI
OD239,Fruits & Veggies,Organic Vegetables,1481,0.15,518.35,UPI
OD240,Snacks,Cookies,2492,0.14,124.6,UPI
OD241,Bakery,Cakes,962,0.33,423.28,UPI
OD242,Beverages,Health Drinks,1432,0.3,214.8,UPI
OD243,Oil & Masala,Edible Oil & Ghee,523,0.12,78.45,UPI
OD244,Oil & Masala,Masalas,1540,0.11,646.8,UPI
OD245,Bakery,Biscuits,817,0.15,326.8,UPI
OD246,"Eggs, Meat & Fish",Fish,2462,0.31,369.3,UPI
OD247,Fruits & Veggies,Organic Fruits,962,0.21,288.6,UPI
OD248,Beverages,Health Drinks,538,0.19,59.18,UPI
OD249,Snacks,Cookies,1556,0.17,482.36,UPI
OD250,Beverages,Health Drinks,2133,0.26,959.85,UPI
OD251,Beverages,Health Drinks,1474,0.14,235.84,UPI
OD252,Beverages,Health Drinks,531,0.14,127.44,UPI
OD253,Food Grains,Rice,1769,0.19,636.84,UPI
OD254,Fruits & Veggies,Organic Vegetables,1257,0.34,62.85,UPI
OD255,Food Grains,Rice,1899,0.27,170.91,UPI
OD256,Fruits & Veggies,Fresh Fruits,1929,0.3,617.28,UPI
OD257,Beverages,Soft Drinks,2417,0.1,990.97,UPI
OD258,"Eggs, Meat & Fish",Mutton,1443,0.25,476.19,UPI
OD259,Beverages,Soft Drinks,660,0.29,290.4,UPI
OD260,Bakery,Breads & Buns,2114,0.32,359.38,UPI
OD261,Oil & Masala,Masalas,1278,0.14,63.9,UPI
OD262,Food Grains,Organic Staples,867,0.18,216.75,UPI
OD263,Food Grains,Organic Staples,943,0.33,150.88,UPI
OD264,Beverages,Soft Drinks,1836,0.17,275.4,UPI
OD265,"Eggs, Meat & Fish",Fish,1200,0.19,420,UPI
OD266,Fruits & Veggies,Organic Vegetables,1167,0.18,256.74,UPI
OD267,"Eggs, Meat & Fish",Chicken,696,0.34,139.2,UPI
OD268,Oil & Masala,Masalas,2500,0.33,425,UPI
OD269,Bakery,Cakes,1507,0.16,180.84,UPI
OD270,Beverages,Soft Drinks,1612,0.11,612.56,UPI
OD271,Snacks,Noodles,764,0.11,160.44,UPI
OD272,Snacks,Noodles,884,0.31,282.88,UPI
OD273,Fruits & Veggies,Organic Fruits,2443,0.23,781.76,UPI
OD274,Bakery,Cakes,1147,0.27,137.64,UPI
OD275,Fruits & Veggies,Organic Vegetables,1899,0.21,493.74,UPI
OD276,Bakery,Cakes,744,0.11,66.96,UPI
OD277,"Eggs, Meat & Fish",Fish,812,0.17,284.2,UPI
OD278,Oil & Masala,Masalas,862,0.2,137.92,UPI
OD279,Snacks,Chocolates,1061,0.13,286.47,UPI
OD280,Fruits & Veggies,Fresh Vegetables,2365,0.31,520.3,UPI
OD281,Snacks,Chocolates,1421,0.14,454.72,UPI
OD282,Fruits & Veggies,Organic Vegetables,1357,0.24,203.55,UPI
OD283,Beverages,Soft Drinks,1007,0.24,433.01,UPI
OD284,Bakery,Biscuits,1544,0.26,138.96,UPI
OD285,Fruits & Veggies,Organic Vegetables,1537,0.18,599.43,UPI
OD286,Bakery,Breads & Buns,1530,0.18,168.3,UPI
OD287,Oil & Masala,Spices,2460,0.15,738,UPI
OD288,Snacks,Noodles,976,0.35,429.44,UPI
OD289,Fruits & Veggies,Organic Fruits,1106,0.19,298.62,UPI
OD290,Bakery,Biscuits,1165,0.17,244.65,UPI
OD291,Food Grains,Rice,1244,0.14,497.6,UPI
OD292,Fruits & Veggies,Organic Fruits,1992,0.34,418.32,UPI
OD293,"Eggs, Meat & Fish",Eggs,1396,0.16,237.32,UPI
OD294,Snacks,Chocolates,849,0.19,263.19,UPI
OD295,Oil & Masala,Masalas,2488,0.14,547.36,UPI
OD296,Food Grains,Rice,840,0.25,184.8,UPI
OD297,Oil & Masala,Edible Oil & Ghee,1820,0.21,527.8,UPI
OD298,Oil & Masala,Masalas,1969,0.15,630.08,UPI
OD299,Food Grains,Organic Staples,2261,0.23,994.84,UPI
OD300,"Eggs, Meat & Fish",Mutton,1793,0.21,304.81,UPI
OD301,Bakery,Breads & Buns,644,0.33,96.6,UPI
OD302,Oil & Masala,Edible Oil & Ghee,1359,0.17,421.29,UPI
OD303,Bakery,Breads & Buns,1554,0.23,683.76,UPI
OD304,Snacks,Cookies,2090,0.25,292.6,UPI
OD305,Oil & Masala,Edible Oil & Ghee,931,0.14,297.92,UPI
OD306,Bakery,Breads & Buns,1157,0.2,404.95,UPI
OD307,Fruits & Veggies,Fresh Fruits,2396,0.35,383.36,UPI
OD308,Oil & Masala,Spices,1677,0.18,586.95,UPI
OD309,Snacks,Cookies,590,0.27,200.6,UPI
OD310,Snacks,Noodles,1401,0.26,196.14,UPI
OD311,Oil & Masala,Edible Oil & Ghee,678,0.29,189.84,UPI
OD312,Snacks,Chocolates,2417,0.28,797.61,UPI
OD313,Beverages,Soft Drinks,2211,0.18,641.19,UPI
OD314,Fruits & Veggies,Fresh Fruits,2392,0.15,406.64,UPI
OD315,"Eggs, Meat & Fish",Mutton,1835,0.29,660.6,UPI
OD316,Snacks,Noodles,2281,0.22,775.54,UPI
OD317,Fruits & Veggies,Fresh Vegetables,1583,0.21,174.13,UPI
OD318,Bakery,Cakes,1123,0.23,89.84,UPI
OD319,Snacks,Cookies,1079,0.24,410.02,UPI
OD320,Food Grains,Organic Staples,1027,0.16,328.64,UPI
OD321,Fruits & Veggies,Fresh Vegetables,1771,0.28,602.14,UPI
OD322,Oil & Masala,Spices,1171,0.16,363.01,UPI
OD323,Bakery,Cakes,672,0.16,141.12,UPI
OD324,Beverages,Health Drinks,848,0.21,228.96,UPI
OD325,Fruits & Veggies,Fresh Vegetables,2078,0.21,914.32,UPI
OD326,Food Grains,Rice,1400,0.17,406,UPI
OD327,Fruits & Veggies,Fresh Vegetables,945,0.22,226.8,UPI
OD328,Beverages,Health Drinks,590,0.22,82.6,UPI
OD329,Beverages,Health Drinks,1583,0.3,316.6,UPI
OD330,Beverages,Health Drinks,1534,0.15,245.44,UPI
OD331,Snacks,Noodles,2133,0.12,490.59,UPI
OD332,Fruits & Veggies,Organic Fruits,2021,0.19,747.77,UPI
OD333,Beverages,Health Drinks,1825,0.17,164.25,UPI
OD334,Bakery,Breads & Buns,2029,0.35,608.7,UPI
OD335,Oil & Masala,Spices,1228,0.25,442.08,UPI
OD336,Food Grains,Rice,1501,0.24,210.14,UPI
OD337,Fruits & Veggies,Organic Vegetables,1094,0.26,415.72,UPI
OD338,Bakery,Cakes,1179,0.2,106.11,UPI
OD339,Food Grains,Atta & Flour,1127,0.29,416.99,UPI
OD340,Bakery,Biscuits,601,0.26,234.39,UPI
OD341,Oil & Masala,Edible Oil & Ghee,1697,0.21,560.01,UPI
OD342,Beverages,Soft Drinks,2095,0.35,502.8,UPI
OD343,"Eggs, Meat & Fish",Chicken,1132,0.24,215.08,UPI
OD344,Fruits & Veggies,Organic Vegetables,1561,0.35,640.01,UPI
OD345,"Eggs, Meat & Fish",Chicken,1238,0.1,297.12,UPI
OD346,Bakery,Breads & Buns,2068,0.32,165.44,UPI
OD347,Fruits & Veggies,Organic Vegetables,1113,0.21,356.16,UPI
OD348,Food Grains,Rice,1966,0.1,629.12,UPI
OD349,"Eggs, Meat & Fish",Chicken,2138,0.13,684.16,UPI
OD350,Food Grains,Atta & Flour,978,0.17,68.46,UPI
OD351,Fruits & Veggies,Fresh Vegetables,2014,0.26,684.76,UPI
OD352,Bakery,Breads & Buns,645,0.21,187.05,UPI
OD353,Food Grains,Rice,2194,0.12,680.14,UPI
OD354,Beverages,Health Drinks,1244,0.17,62.2,UPI
OD355,Bakery,Biscuits,743,0.35,289.77,UPI
OD356,Fruits & Veggies,Fresh Vegetables,2474,0.21,593.76,UPI
OD357,Snacks,Cookies,1494,0.2,74.7,UPI
OD358,Oil & Masala,Spices,1174,0.19,328.72,UPI
OD359,Fruits & Veggies,Organic Vegetables,1062,0.35,435.42,UPI
OD360,Fruits & Veggies,Organic Vegetables,2297,0.13,528.31,UPI
OD361,Snacks,Noodles,562,0.13,56.2,UPI
OD362,"Eggs, Meat & Fish",Eggs,2049,0.13,655.68,UPI
OD363,"Eggs, Meat & Fish",Eggs,570,0.22,125.4,UPI
OD364,"Eggs, Meat & Fish",Mutton,1236,0.35,333.72,UPI
OD365,Beverages,Health Drinks,1069,0.32,459.67,UPI
OD366,Bakery,Cakes,1946,0.27,622.72,UPI
OD367,Snacks,Noodles,595,0.11,196.35,UPI
OD368,"Eggs, Meat & Fish",Mutton,2439,0.21,658.53,UPI
OD369,Bakery,Biscuits,2415,0.24,555.45,UPI
OD370,Oil & Masala,Spices,1725,0.27,362.25,UPI
OD371,Fruits & Veggies,Fresh Vegetables,688,0.21,116.96,UPI
OD372,Food Grains,Rice,1698,0.16,339.6,UPI
OD373,Bakery,Breads & Buns,1665,0.33,216.45,UPI
OD374,Beverages,Health Drinks,1309,0.13,78.54,UPI
OD375,Oil & Masala,Spices,905,0.32,72.4,UPI
OD376,"Eggs, Meat & Fish",Mutton,2271,0.35,295.23,UPI
OD377,Snacks,Chocolates,2091,0.27,522.75,UPI
OD378,Food Grains,Atta & Flour,1917,0.28,172.53,UPI
OD379,Food Grains,Rice,641,0.17,179.48,UPI
OD380,Oil & Masala,Spices,1192,0.26,417.2,UPI
OD381,Food Grains,Rice,1132,0.21,464.12,UPI
OD382,Oil & Masala,Masalas,1727,0.27,224.51,UPI
OD383,"Eggs, Meat & Fish",Mutton,1051,0.34,378.36,UPI
OD384,Beverages,Health Drinks,2109,0.19,337.44,UPI
OD385,"Eggs, Meat & Fish",Mutton,1311,0.14,314.64,UPI
OD386,Fruits & Veggies,Organic Fruits,759,0.1,265.65,UPI
OD387,Bakery,Biscuits,2201,0.21,462.21,UPI
OD388,Snacks,Cookies,1964,0.22,314.24,UPI
OD389,Snacks,Chocolates,1898,0.19,702.26,UPI
OD390,Bakery,Biscuits,2282,0.19,114.1,UPI
OD391,Bakery,Breads & Buns,2294,0.18,596.44,UPI
OD392,Oil & Masala,Spices,2213,0.34,995.85,UPI
OD393,Food Grains,Atta & Flour,1797,0.3,269.55,UPI
OD394,Oil & Masala,Edible Oil & Ghee,1912,0.29,382.4,UPI
OD395,Food Grains,Rice,1865,0.11,354.35,UPI
OD396,Bakery,Cakes,1838,0.24,753.58,UPI
OD397,Beverages,Soft Drinks,1626,0.23,195.12,UPI
OD398,Snacks,Noodles,647,0.33,71.17,UPI
OD399,Bakery,Breads & Buns,1042,0.2,177.14,UPI
OD400,Beverages,Health Drinks,1519,0.23,318.99,UPI
OD401,Beverages,Health Drinks,532,0.26,148.96,UPI
OD402,"Eggs, Meat & Fish",Chicken,1477,0.23,73.85,UPI
OD403,Bakery,Cakes,707,0.14,98.98,UPI
OD404,Snacks,Cookies,1748,0.24,314.64,UPI
OD405,Oil & Masala,Masalas,2257,0.15,361.12,UPI
OD406,Food Grains,Atta & Flour,762,0.31,198.12,UPI
OD407,Food Grains,Rice,904,0.17,63.28,UPI
OD408,Fruits & Veggies,Fresh Fruits,958,0.18,182.02,UPI
OD409,Beverages,Soft Drinks,2193,0.33,899.13,UPI
OD410,"Eggs, Meat & Fish",Eggs,830,0.14,66.4,UPI
OD411,Bakery,Cakes,1531,0.28,505.23,UPI
OD412,Snacks,Cookies,2355,0.14,753.6,UPI
OD413,Oil & Masala,Edible Oil & Ghee,917,0.19,256.76,UPI
OD414,Bakery,Breads & Buns,1433,0.25,458.56,UPI
OD415,"Eggs, Meat & Fish",Fish,2246,0.31,965.78,UPI
OD416,Food Grains,Dals & Pulses,2130,0.23,937.2,UPI
OD417,Snacks,Cookies,2461,0.18,393.76,UPI
OD418,Beverages,Soft Drinks,1863,0.1,167.67,UPI
OD419,Food Grains,Dals & Pulses,1382,0.1,290.22,UPI
OD420,Beverages,Health Drinks,807,0.32,88.77,UPI
OD421,"Eggs, Meat & Fish",Fish,1272,0.24,305.28,UPI
